course_name,name,overall_grade,grade,difficulty,useful,comments,course_time
GELH1001,CHEONG IM LAN,A,A,A,A,10,"MON 14:30-15:45, THU 14:30-15:45, MON 16:00-17:15, THU 16:00-17:15"
GELH1007,LI ZIHAO,A,A,A,A,2,SAT 08:30-11:15
GEST2002,KUZMA STRELNIKOV,A,A,A,A,2,"MON 11:30-12:45, THU 11:30-12:45"
GELH1010,LEE TING MIEN,A-,A,A,A,1,"TUE 08:30-09:45, FRI 08:30-09:45"
GELH1000,SUN XIAOXUE,A-,A,A,A,1,"MON 08:30-09:45, THU 08:30-09:45"
GELH2001,JEREMY CENTENO DE CHAVEZ,B+,A,B+,B+,18,"MON 10:00-12:45, FRI 16:00-18:45"
GEST1003,WAN LUNG YAM,B+,A-,A-,B+,6,"MON 11:30-12:45, THU 11:30-12:45"
GEGA1006,ZHA CHENYANG,B+,A-,A-,A-,18,"TUE 17:30-18:45, FRI 17:30-18:45"
GESB1003,KONG WA,B,A-,A-,B+,23,"MON 13:00-14:15, THU 13:00-14:15, MON 13:00-14:15, THU 13:00-14:15, MON 13:00-14:15, THU 13:00-14:15"
GEGA1006,SUN PENGZHAN,B,B+,B+,B,12,"MON 16:00-17:15, THU 16:00-17:15"
GELH2004,WEATHERLY CHRISTOPHER ALAN,B,B-,B-,B-,5,TUE 19:00-21:45
GEST1006,WU IOK KUAN,B,B+,B+,B,15,"MON 16:00-17:15, THU 16:00-17:15, TUE 16:00-17:15, FRI 16:00-17:15"
GEST1016,SUN GUOXING,B,B+,B,B,66,"MON 16:00-17:15, THU 16:00-17:15"
GEST1017,CHEANG WAI SAN / LU JIAHONG / UNG OI LAM CAROLINA,B,A-,A-,B+,7,"MON 14:30-15:45, THU 14:30-15:45"
GEST1004,KOU KIT IAN,B,A,C,A,1,"MON 10:00-11:15, THU 10:00-11:15, WED 10:00-10:50"
GEGA1003,ROSTAM MAG.IUR.DR.IUR.NEUWIRTH,B-,B-,B+,B-,19,"MON 08:30-09:45, THU 08:30-09:45"
GEST1001,JIAO YIFAN,B-,B,B-,B,4,"MON 16:00-17:15, THU 16:00-17:15, TUE 16:00-17:15, FRI 16:00-17:15"
GEST1014,LIAO JINFENG,B-,B-,B-,B-,6,"MON 17:30-18:45, THU 17:30-18:45"
GEST1004,CHENG CHE MAN RAYMOND,B-,B-,C,C+,14,"MON 16:00-17:15, THU 16:00-17:15, WED 11:00-11:50"
GEGA1006,SHAO HUAIYU,B-,B+,B-,B,37,"MON 08:30-09:45, THU 08:30-09:45"
GEGA1006,XING GUICHUAN,B-,B,B,C+,40,"TUE 16:00-17:15, FRI 16:00-17:15"
GELH1000,CHEONG IM LAN,B-,B+,B,B+,69,"TUE 10:00-11:15, FRI 10:00-11:15, TUE 11:30-12:45, FRI 11:30-12:45, TUE 14:30-15:45, FRI 14:30-15:45"
GEGA3001,YANG HAI,B-,B,C,B,28,"MON 16:00-17:15, THU 16:00-17:15, TUE 14:30-15:45, FRI 14:30-15:45"
GEST1012,TAM KAM WENG,B-,B-,B,C,12,"MON 08:30-09:45, THU 08:30-09:45"
GEST1002,LEI CHON LOK,B-,A,B,A-,33,"MON 08:30-09:45, THU 08:30-09:45"
GEGA1000,XIE JINGZHEN,B-,B,B+,C+,4,"MON 14:30-15:45, THU 14:30-15:45"
GEST1015,NG KAR WEI,C+,B,B-,B-,20,"MON 17:30-18:45, THU 17:30-18:45"
GELH1001,WANG MINGYU,C+,B-,B-,B-,31,"MON 13:00-14:15, THU 13:00-14:15, TUE 17:30-18:45, FRI 17:30-18:45"
GELH2005,CAI GUO JIE,C+,B,B,B,7,WED 10:00-12:45
GELH1000,CHEANG WAI LEK,C+,B,B,B-,37,"MON 17:30-18:45, THU 17:30-18:45, TUE 17:30-18:45, FRI 17:30-18:45, SAT 10:00-12:45"
GESB1002,KOU KEI SANG,C+,B-,C+,B-,122,"TUE 16:00-17:15, FRI 16:00-17:15, TUE 16:00-17:15, FRI 16:00-17:15, TUE 16:00-17:15, FRI 16:00-17:15"
GELH2003,VONG WENG CHON,C+,B-,C+,B,62,"WED 10:00-12:45, THU 10:00-12:45, FRI 10:00-12:45"
GEST1002,WANG PENG / WANG YA FAN,C+,A-,A-,B-,2,"TUE 11:30-12:45, FRI 11:30-12:45"
GEST1007,GARY WONG / WONG KOON HO,C+,B-,C+,B-,81,"MON 08:30-09:45, THU 08:30-09:45, TUE 10:00-11:15, FRI 10:00-11:15"
GESB1005,HO HENG MAN,C+,B+,B,B-,24,"MON 16:00-17:15, THU 16:00-17:15, MON 14:30-15:45, THU 14:30-15:45"
GEST1004,WAN LUNG YAM,C+,B,C+,C+,35,"TUE 16:00-17:15, FRI 16:00-17:15, WED 10:00-10:50, MON 14:30-15:45, THU 14:30-15:45, TUE 11:30-12:20, MON 10:00-11:15, THU 10:00-11:15, FRI 10:00-10:50"
GEST1001,LAO WUN LEI,C+,B-,C+,B-,45,"MON 13:00-14:15, THU 13:00-14:15, MON 14:30-15:45, THU 14:30-15:45, TUE 11:30-12:45, FRI 11:30-12:45"
GEST1001,KUAN UN FONG,C+,B,B,B,40,"MON 11:30-12:45, THU 11:30-12:45, TUE 13:00-14:15, FRI 13:00-14:15, TUE 14:30-15:45, FRI 14:30-15:45"
GELH1000,CHAN WAI CHU,C,C,C,C-,20,"MON 10:00-11:15, THU 10:00-11:15, WED 10:00-11:15, SAT 10:00-11:15, WED 11:30-12:45, SAT 11:30-12:45"
GESB1003,LAI KUAN JU,C,B-,B-,C+,79,"MON 10:00-11:15, THU 10:00-11:15, MON 10:00-11:15, THU 10:00-11:15, MON 10:00-11:15, THU 10:00-11:15, TUE 11:30-12:45, FRI 11:30-12:45, TUE 11:30-12:45, FRI 11:30-12:45, TUE 11:30-12:45, FRI 11:30-12:45"
GESB1002,DIMITRA AMARANTIDOU,C,C,C-,C+,106,"MON 10:00-11:15, THU 10:00-11:15, MON 10:00-11:15, THU 10:00-11:15, MON 10:00-11:15, THU 10:00-11:15, TUE 11:30-12:45, FRI 11:30-12:45, TUE 11:30-12:45, FRI 11:30-12:45, TUE 11:30-12:45, FRI 11:30-12:45, MON 13:00-14:15, THU 13:00-14:15, MON 13:00-14:15, THU 13:00-14:15, MON 13:00-14:15, THU 13:00-14:15, TUE 14:30-15:45, FRI 14:30-15:45, TUE 14:30-15:45, FRI 14:30-15:45, TUE 14:30-15:45, FRI 14:30-15:45, MON 14:30-15:45, THU 14:30-15:45, MON 14:30-15:45, THU 14:30-15:45, MON 14:30-15:45, THU 14:30-15:45"
GELH1000,SIO CHIO IEONG,C,B-,C+,C-,37,"MON 10:00-11:15, THU 10:00-11:15, MON 11:30-12:45, THU 11:30-12:45, TUE 13:00-14:15, FRI 13:00-14:15"
GESB2001,JA YOUNG CHOE,C,C+,C,C+,12,"TUE 14:30-15:45, FRI 14:30-15:45"
GEST1009,LAM TENG,C,C+,C,C+,34,"MON 08:30-09:45, THU 08:30-09:45"
GESB2003,JOSEPH ADEA SY-CHANGCO,C,C+,C+,C-,20,"TUE 13:00-14:15, FRI 13:00-14:15, MON 16:00-17:15, THU 16:00-17:15, TUE 17:30-18:45, FRI 17:30-18:45"
GEST1010,IP WENG FAI,C,D+,C-,D+,15,"TUE 10:00-11:15, FRI 10:00-11:15"
GEST1005,CHAN WING HAN BRENDA,C,C-,C+,D+,58,"MON 08:30-09:45, THU 08:30-09:45"
GEST1002,JUNG WOO PARK / WANG LI,C,B-,B,C-,13,"MON 16:00-17:15, THU 16:00-17:15"
GESB1006,MINGLI ZHENG,C,C,C+,C-,35,"TUE 10:00-11:15, FRI 10:00-11:15"
GEST1019,ZHANG MINGLEI,C,C+,C+,C,41,"TUE 08:30-09:45, FRI 08:30-09:45"
GEGA1000,SPOONER PAUL BARRIE,C,C+,C-,C,77,"TUE 08:30-09:45, FRI 08:30-09:45, TUE 10:00-11:15, FRI 10:00-11:15, TUE 13:00-14:15, FRI 13:00-14:15"
GELH2002,GLEN TIMMERMANS,C,C+,C-,B-,81,FRI 10:00-12:45
GEGA1000,"LIAO BOLUN, EDGAR",C,C,C,C,3,"MON 08:30-09:45, THU 08:30-09:45, MON 10:00-11:15, THU 10:00-11:15, MON 13:00-14:15, THU 13:00-14:15"
GELH1000,LAO KENG CHONG,C-,D+,C+,D,30,"MON 14:30-15:45, THU 14:30-15:45, TUE 10:00-11:15, FRI 10:00-11:15"
GEGA2003,SOU VA IAN SUZANA,C-,C,D,B-,24,"TUE 13:00-14:15, FRI 13:00-14:15"
GELH1000,LO IN FAT,C-,C-,C-,D+,36,"TUE 08:30-09:45, FRI 08:30-09:45"
GELH1000,MA WAN CHAM,C-,C-,C,C-,168,"TUE 17:30-18:45, FRI 17:30-18:45"
GESB2002,ZHANG LIWEN,C-,D+,D+,C-,11,"MON 10:00-11:15, THU 10:00-11:15"
GESB1001,KUOK OI MEI,C-,C-,C,D+,38,"MON 10:00-11:15, THU 10:00-11:15, MON 10:00-11:15, THU 10:00-11:15, MON 10:00-11:15, THU 10:00-11:15, TUE 11:30-12:45, FRI 11:30-12:45, TUE 11:30-12:45, FRI 11:30-12:45, TUE 11:30-12:45, FRI 11:30-12:45, MON 13:00-14:15, THU 13:00-14:15, MON 13:00-14:15, THU 13:00-14:15, MON 13:00-14:15, THU 13:00-14:15, TUE 14:30-15:45, FRI 14:30-15:45, TUE 14:30-15:45, FRI 14:30-15:45, TUE 14:30-15:45, FRI 14:30-15:45"
GEGA1000,WEN RUJIA,D+,C-,D+,C-,279,"TUE 14:30-15:45, FRI 14:30-15:45, TUE 16:00-17:15, FRI 16:00-17:15, MON 16:00-17:15, THU 16:00-17:15"
GESB1001,LEUNG KHALILIAN ROSE,D+,D+,D+,D+,447,"MON 14:30-15:45, THU 14:30-15:45, MON 14:30-15:45, THU 14:30-15:45, MON 14:30-15:45, THU 14:30-15:45, TUE 16:00-17:15, FRI 16:00-17:15, TUE 16:00-17:15, FRI 16:00-17:15, TUE 16:00-17:15, FRI 16:00-17:15"
GELH2008,LEI WAI SENG,D+,C-,D,D+,16,"MON 10:00-11:15, THU 10:00-11:15"
GEST1008,WAN IAT MENG,D+,C-,D,C-,28,"TUE 08:30-09:45, FRI 08:30-09:45"
GESB1013,LEUNG SHING ON,D+,D+,C,D-,34,"TUE 11:30-12:45, FRI 11:30-12:45"
GESB2004,CAROL TING,D,D,C,D,1,"TUE 16:00-17:15, FRI 16:00-17:15"
GESB1009,CHANG SIO NGA,D,D,D,D-,82,"MON 08:30-09:45, THU 08:30-09:45"
GELH1000,CHEN ZHONG,D,D,D+,D,42,"TUE 16:00-17:15, FRI 16:00-17:15"
